,Symbol,Holding_Period,Total_Return_no_tp_sl,Accuracy_no_tp_sl,Num_Signals,TP(%),SL(%),Total_Return_with_tp_sl,Accuracy_with_tp_sl,High_in_x_hours,Volume_Increase_Pct,Weight
28,CRV-USD,144,0.0378655817855906,77.77777777777779,9,25,20,0.02965880009367,77.77777777777779,288,20,0.0019913740896883984
29,CTSI-USD,144,-0.0880595855313441,87.5,8,25,40,-0.0880595855313441,87.5,576,20,0.0
30,CVC-USD,168,0.2860006070858247,90.9090909090909,11,25,40,0.5596780459153131,90.9090909090909,288,100,0.0
31,DENT-USD,144,0.2080998363568701,83.33333333333334,6,25,40,0.2094972868216731,83.33333333333334,648,20,2.2127988986316772e-17
32,DGB-USD,168,-0.0580217429653399,85.71428571428571,7,25,40,-0.0123262726320007,85.71428571428571,432,100,7.790121096872501e-17
33,DODO-USD,96,0.4046807066161171,71.42857142857143,14,25,40,0.4728235467802842,71.42857142857143,360,40,0.0
34,DOGE-USD,144,1.33328752687328,72.72727272727273,11,25,20,0.5621454778645708,72.72727272727273,504,20,0.005713192776722286
35,DOT-USD,48,0.6128259520239907,80.0,10,25,20,0.3830369114917,90.0,504,100,0.017896326813268984
36,DYDX-USD,168,0.3624335884486593,87.5,16,25,40,0.3876059682359369,87.5,144,40,0.0
37,EGLD-USD,24,0.1111342983810327,70.0,10,25,20,0.1111342983810327,70.0,720,60,0.0
38,ENA-USD,120,-0.0903278630985095,88.88888888888889,9,25,40,-0.1983346025066366,88.88888888888889,360,20,1.848551269817409e-16
39,ENS-USD,144,1.0949231118310236,76.92307692307693,13,25,20,0.4737540987822349,84.61538461538461,432,60,0.003992434804001122
40,EOS-USD,144,0.197046245825099,80.0,5,25,20,0.197046245825099,80.0,576,20,0.0
41,ETC-USD,120,0.4787067409382293,69.23076923076923,13,25,20,0.6433223818566163,76.92307692307693,504,80,0.0
42,ETH-USD,96,0.0382154088164325,76.92307692307693,13,25,20,0.0382154088164325,76.92307692307693,504,100,0.0
43,FET-USD,72,0.6178538875980908,88.88888888888889,9,25,20,0.5042742688519937,88.88888888888889,504,80,0.018126706787085323
44,FIL-USD,120,0.3219456831946031,80.0,10,25,40,0.3023298618483784,80.0,576,20,9.67423773271549e-17
45,FLM-USD,144,-0.7376253119897566,100.0,6,25,60,-0.7376253119897566,100.0,720,20,4.3029624823281007e-17
46,FLOKI-USD,96,0.8523884312963736,75.0,8,25,20,0.3902080137486549,100.0,648,20,6.789456788886762e-17
47,FLOW-USD,72,0.559671026736599,91.66666666666666,12,25,20,0.607669126299778,91.66666666666666,432,40,1.2002919962719626e-16
48,FTM-USD,96,0.1121302324505526,75.0,12,25,40,0.1052232950566033,83.33333333333334,504,20,0.0
49,FUN-USD,144,0.3559239845152647,80.0,10,25,40,-0.0664355774206463,80.0,504,20,0.0004995366223477679
50,FXS-USD,168,-0.4208645403214048,100.0,6,25,40,-0.4225030790298395,100.0,720,40,0.0
51,GALA-USD,168,0.1718618334368155,100.0,9,25,40,0.2475569311787712,100.0,288,40,0.0
52,GNO-USD,168,0.3869406628109714,80.0,10,25,20,0.3869406628109714,80.0,360,40,1.6351786547243278e-17
53,HBAR-USD,168,0.8175386164727529,100.0,4,25,40,-0.0985270921302581,100.0,720,20,0.018085106943779104
54,ICP-USD,96,1.7019047376280272,76.19047619047619,21,25,20,1.1490106765936314,80.95238095238095,144,40,0.01777977423505603
55,INJ-USD,24,0.2610075171284787,90.0,10,25,20,0.2610075171284787,90.0,720,40,0.0
56,KAVA-USD,144,-0.0449100532076767,100.0,4,25,20,-5.96337990842466e-05,100.0,720,20,7.850663329237486e-18
57,KNC-USD,144,-0.1477063967218152,88.88888888888889,9,25,20,-0.1477063967218152,88.88888888888889,576,100,7.637306512878303e-17
58,LDO-USD,168,-0.1435439465203387,86.66666666666667,15,25,60,-0.2743870335485254,93.33333333333331,216,60,1.7392679780063409e-16
