,Symbol,High_in_x_days,Volume_Increase_Pct,Holding_Period,Num_Signals,Total_Return,Accuracy,Sharpe_Ratio
7925,LINK/USDT,10,30,6,49,54.319365801357776,42.857142857142854,0.09844889551928755
7926,LINK/USDT,10,30,7,49,86.40414341649173,46.93877551020408,0.1494431519124746
7927,LINK/USDT,10,30,8,49,95.37887575955995,51.02040816326531,0.16143497055056583
7928,LINK/USDT,10,30,9,49,91.19004174604423,53.06122448979592,0.1431970925619753
7929,LINK/USDT,10,30,10,49,89.80034655307769,40.816326530612244,0.13094683321581702
7930,LINK/USDT,10,40,1,44,29.893307981371454,52.27272727272727,0.140981045714528
7931,LINK/USDT,10,40,2,44,48.30818950972685,45.45454545454545,0.15346404300417593
7932,LINK/USDT,10,40,3,44,41.562469480300656,43.18181818181818,0.10135769112419175
7933,LINK/USDT,10,40,4,44,58.7801132810821,50.0,0.1401557602338932
7934,LINK/USDT,10,40,5,44,47.505298940158184,38.63636363636363,0.10281039377903582
7935,LINK/USDT,10,40,6,44,53.96746563704299,43.18181818181818,0.10662157789176735
7936,LINK/USDT,10,40,7,44,83.89402485421058,45.45454545454545,0.16191626126872385
7937,LINK/USDT,10,40,8,44,81.75585987663057,50.0,0.16593918855654816
7938,LINK/USDT,10,40,9,44,80.863087955715,52.27272727272727,0.14891489533719426
7939,LINK/USDT,10,40,10,44,84.4034252889878,38.63636363636363,0.14718079024187192
7940,LINK/USDT,10,50,1,36,24.08565994722197,50.0,0.130976543547976
7941,LINK/USDT,10,50,2,36,45.60867924737043,41.66666666666667,0.1633817603988017
7942,LINK/USDT,10,50,3,36,52.60167616179374,47.22222222222222,0.1466678493645609
7943,LINK/USDT,10,50,4,36,78.05594804891058,50.0,0.2136634437671573
7944,LINK/USDT,10,50,5,36,62.773362711773295,41.66666666666667,0.15463639614965388
7945,LINK/USDT,10,50,6,36,74.36636474298069,44.44444444444444,0.17067025607813122
7946,LINK/USDT,10,50,7,36,94.3986591548757,41.66666666666667,0.21076217497038288
7947,LINK/USDT,10,50,8,36,77.94300300352934,47.22222222222222,0.18520802118061733
7948,LINK/USDT,10,50,9,36,94.98546981348044,52.77777777777778,0.20405312037322185
7949,LINK/USDT,10,50,10,36,92.10956426364721,38.88888888888889,0.18837514456752677
7950,LINK/USDT,10,60,1,34,30.503422000738723,52.94117647058824,0.1739644725293003
7951,LINK/USDT,10,60,2,34,45.404420662042575,41.17647058823529,0.16763117966795482
7952,LINK/USDT,10,60,3,34,53.39264916144162,47.05882352941176,0.15415412392123254
7953,LINK/USDT,10,60,4,34,75.64582959723002,50.0,0.21447648069282635
7954,LINK/USDT,10,60,5,34,53.89003814354013,41.17647058823529,0.13753171035489584
7955,LINK/USDT,10,60,6,34,61.76952876867006,41.17647058823529,0.14641570637660875
7956,LINK/USDT,10,60,7,34,87.93014474827633,41.17647058823529,0.2024724739737652
7957,LINK/USDT,10,60,8,34,75.39325291332986,47.05882352941176,0.18458793216140487
7958,LINK/USDT,10,60,9,34,86.96885405792463,50.0,0.1923775324406097
7959,LINK/USDT,10,60,10,34,88.48902642239531,38.23529411764706,0.18636357161734404
7960,LINK/USDT,10,70,1,30,19.71271010321595,46.666666666666664,0.12070030944908701
7961,LINK/USDT,10,70,2,30,28.29045809081997,36.666666666666664,0.11321220095904926
7962,LINK/USDT,10,70,3,30,35.08652823188889,43.333333333333336,0.10952592789435166
7963,LINK/USDT,10,70,4,30,56.45816314297031,46.666666666666664,0.17449808694428967
7964,LINK/USDT,10,70,5,30,43.04836777275575,36.666666666666664,0.11886980455816673
7965,LINK/USDT,10,70,6,30,59.1437461151331,43.333333333333336,0.1510489172183105
7966,LINK/USDT,10,70,7,30,85.0420708735484,40.0,0.2098486597791176
7967,LINK/USDT,10,70,8,30,64.1648028855617,46.666666666666664,0.16917002175628887
7968,LINK/USDT,10,70,9,30,68.60372373449292,46.666666666666664,0.16302841103181126
7969,LINK/USDT,10,70,10,30,64.06162963188228,36.666666666666664,0.1468688372665568
7970,LINK/USDT,10,80,1,23,4.910736109667761,47.82608695652174,0.04468716671063137
7971,LINK/USDT,10,80,2,23,11.581369514049625,39.130434782608695,0.08834800004476905
7972,LINK/USDT,10,80,3,23,17.705997750921533,47.82608695652174,0.0892955565556545
7973,LINK/USDT,10,80,4,23,36.067720672958714,52.17391304347826,0.16522710370071697
7974,LINK/USDT,10,80,5,23,13.235661266706867,34.78260869565217,0.0598516904728812
7975,LINK/USDT,10,80,6,23,36.580268373946176,43.47826086956522,0.14474641419675735
7976,LINK/USDT,10,80,7,23,50.46777641475892,39.130434782608695,0.2000063566312891
7977,LINK/USDT,10,80,8,23,36.9252446753171,52.17391304347826,0.15865059295237113
7978,LINK/USDT,10,80,9,23,29.986126065225406,47.82608695652174,0.13534633391539275
7979,LINK/USDT,10,80,10,23,23.88133106197534,39.130434782608695,0.09257079086650076
7980,LINK/USDT,10,90,1,20,1.1941277741157412,40.0,0.011680715780070652
7981,LINK/USDT,10,90,2,20,8.2702178474988,40.0,0.0680601694409142
7982,LINK/USDT,10,90,3,20,15.087731274245037,50.0,0.08282779771003136
7983,LINK/USDT,10,90,4,20,33.27292476353874,50.0,0.16496294906116765
7984,LINK/USDT,10,90,5,20,17.01320772165267,35.0,0.08265011767186445
7985,LINK/USDT,10,90,6,20,36.62852271839967,45.0,0.15688778935293632
7986,LINK/USDT,10,90,7,20,48.97582879463081,35.0,0.20866268762810983
7987,LINK/USDT,10,90,8,20,41.86425676125274,55.00000000000001,0.19882929274093022
7988,LINK/USDT,10,90,9,20,35.28985101387798,50.0,0.17254765226576355
7989,LINK/USDT,10,90,10,20,33.217487173584495,40.0,0.1417102754490361
7990,LINK/USDT,10,100,1,17,11.566313281291746,47.05882352941176,0.12821029218859334
7991,LINK/USDT,10,100,2,17,14.691204510450046,47.05882352941176,0.1337498126208129
7992,LINK/USDT,10,100,3,17,34.1081857186548,58.82352941176471,0.21797853753468455
7993,LINK/USDT,10,100,4,17,40.08295357741903,52.94117647058824,0.21979889708207362
7994,LINK/USDT,10,100,5,17,30.688177363590874,41.17647058823529,0.1663615451616785
7995,LINK/USDT,10,100,6,17,47.07355939330277,47.05882352941176,0.22770949492202958
7996,LINK/USDT,10,100,7,17,64.12578235412907,41.17647058823529,0.30914775144564977
7997,LINK/USDT,10,100,8,17,49.0557255698863,58.82352941176471,0.25795671185681124
7998,LINK/USDT,10,100,9,17,36.60855705467363,52.94117647058824,0.1942094483448981
7999,LINK/USDT,10,100,10,17,37.71441975693209,41.17647058823529,0.17616998607768988
8000,LINK/USDT,15,10,1,49,-1.3620322565903231,44.89795918367347,-0.005978338720152658
8001,LINK/USDT,15,10,2,49,4.6093075744346015,53.06122448979592,0.016709358304148197
8002,LINK/USDT,15,10,3,49,4.818788210041902,48.97959183673469,0.011705374425227181
8003,LINK/USDT,15,10,4,49,27.289240325885146,51.02040816326531,0.060155103857387336
8004,LINK/USDT,15,10,5,49,-11.179573421272316,42.857142857142854,-0.02436345087000433
8005,LINK/USDT,15,10,6,49,-12.222675768545233,42.857142857142854,-0.024916405697408522
8006,LINK/USDT,15,10,7,49,20.4233313487431,46.93877551020408,0.040151433102102715
8007,LINK/USDT,15,10,8,49,68.04876767300007,53.06122448979592,0.1289770625159573
8008,LINK/USDT,15,10,9,49,58.79634425798501,48.97959183673469,0.10106175735193478
8009,LINK/USDT,15,10,10,49,92.25903999611396,44.89795918367347,0.14785183337875052
8010,LINK/USDT,15,20,1,42,-12.989169104682198,45.23809523809524,-0.07052880740712031
8011,LINK/USDT,15,20,2,42,-6.347182731685663,50.0,-0.027330486926264105
8012,LINK/USDT,15,20,3,42,-8.920327736950556,47.61904761904761,-0.02643867444405778
8013,LINK/USDT,15,20,4,42,13.003284941349126,50.0,0.0356583999467127
8014,LINK/USDT,15,20,5,42,-14.052082919428216,42.857142857142854,-0.038034615613024306
8015,LINK/USDT,15,20,6,42,-1.8427071588134392,40.476190476190474,-0.004288586341394653
8016,LINK/USDT,15,20,7,42,43.07931785377068,47.61904761904761,0.09845906780372801
8017,LINK/USDT,15,20,8,42,73.25095414190169,54.761904761904766,0.16262787975149767
8018,LINK/USDT,15,20,9,42,70.96192710094536,50.0,0.14167317630924478
8019,LINK/USDT,15,20,10,42,95.7431390273458,45.23809523809524,0.17612842302269788
8020,LINK/USDT,15,30,1,37,5.542983696025192,48.64864864864865,0.03569376524780227
8021,LINK/USDT,15,30,2,37,9.259946713973527,48.64864864864865,0.04755055333078317
8022,LINK/USDT,15,30,3,37,6.145468802369663,45.94594594594595,0.02123976351623747
8023,LINK/USDT,15,30,4,37,36.83467501990984,51.35135135135135,0.11824404851497652
8024,LINK/USDT,15,30,5,37,17.08262071164594,40.54054054054054,0.05465843997935217
8025,LINK/USDT,15,30,6,37,25.286786109464366,40.54054054054054,0.06666873165389739
8026,LINK/USDT,15,30,7,37,56.7788626773069,48.64864864864865,0.14556979565522501
8027,LINK/USDT,15,30,8,37,90.89226737195972,54.054054054054056,0.23135287309738667
8028,LINK/USDT,15,30,9,37,77.94096027241527,48.64864864864865,0.1754328189082618
8029,LINK/USDT,15,30,10,37,95.90809651973596,45.94594594594595,0.1997358832636079
8030,LINK/USDT,15,40,1,33,12.213876341089867,51.515151515151516,0.08594291332532578
8031,LINK/USDT,15,40,2,33,20.016334513270586,51.515151515151516,0.1156102178741465
8032,LINK/USDT,15,40,3,33,14.97121038820447,45.45454545454545,0.056220821173574714
8033,LINK/USDT,15,40,4,33,40.47741502662829,51.515151515151516,0.1419787261825305
8034,LINK/USDT,15,40,5,33,11.977538338390282,36.36363636363637,0.04150093146154747
8035,LINK/USDT,15,40,6,33,16.66450303293286,39.39393939393939,0.04847185781536642
8036,LINK/USDT,15,40,7,33,42.338553961339905,45.45454545454545,0.12326536823650033
8037,LINK/USDT,15,40,8,33,57.876180376761525,51.515151515151516,0.18299224986099466
8038,LINK/USDT,15,40,9,33,48.05162044405533,45.45454545454545,0.12879381039777812
8039,LINK/USDT,15,40,10,33,71.0139103429084,42.42424242424242,0.18259401505678602
8040,LINK/USDT,15,50,1,27,9.851987639181237,48.148148148148145,0.07812021545653956
8041,LINK/USDT,15,50,2,27,18.659852852414634,48.148148148148145,0.1216830033722742
8042,LINK/USDT,15,50,3,27,22.96125487432433,51.85185185185185,0.10002870461057005
8043,LINK/USDT,15,50,4,27,55.463355882548996,51.85185185185185,0.22606491287807823
8044,LINK/USDT,15,50,5,27,27.736903979455146,40.74074074074074,0.11074550944666257
8045,LINK/USDT,15,50,6,27,34.76269080544584,40.74074074074074,0.11847309420497452
8046,LINK/USDT,15,50,7,27,52.74429961306784,40.74074074074074,0.17683159953813488
8047,LINK/USDT,15,50,8,27,46.05155816882076,48.148148148148145,0.17306288595920125
8048,LINK/USDT,15,50,9,27,54.53333403125381,44.44444444444444,0.17175638185457096
8049,LINK/USDT,15,50,10,27,64.95781077684535,40.74074074074074,0.1975948305962274
8050,LINK/USDT,15,60,1,25,16.26974969269799,52.0,0.13772073532144852
8051,LINK/USDT,15,60,2,25,18.455594267086767,48.0,0.12548482190589147
8052,LINK/USDT,15,60,3,25,23.75222787397221,52.0,0.10868216001197552
8053,LINK/USDT,15,60,4,25,53.053237430868435,52.0,0.22718194915159917
8054,LINK/USDT,15,60,5,25,18.853579411221965,40.0,0.07946110638044498
8055,LINK/USDT,15,60,6,25,22.16585483113519,36.0,0.0791965488310557
8056,LINK/USDT,15,60,7,25,46.27578520646849,40.0,0.16191156363705364
8057,LINK/USDT,15,60,8,25,43.501808078621295,48.0,0.17026763291513794
8058,LINK/USDT,15,60,9,25,46.516718275698,40.0,0.1525030982759427
8059,LINK/USDT,15,60,10,25,61.33727293559343,40.0,0.19413587934275772
8060,LINK/USDT,15,70,1,23,10.240998988862604,47.82608695652174,0.09133968005668917
8061,LINK/USDT,15,70,2,23,8.335576721753545,43.47826086956522,0.06090100916621162
8062,LINK/USDT,15,70,3,23,8.0788323853627,47.82608695652174,0.039713634521892444
8063,LINK/USDT,15,70,4,23,33.72667958259825,47.82608695652174,0.15516871502990479
8064,LINK/USDT,15,70,5,23,7.035242049305934,34.78260869565217,0.0313128663928165
8065,LINK/USDT,15,70,6,23,13.235809070168592,34.78260869565217,0.04991654132590924
8066,LINK/USDT,15,70,7,23,40.776100960248996,39.130434782608695,0.14921984926839618
8067,LINK/USDT,15,70,8,23,38.551162105493056,47.82608695652174,0.1588307531647218
8068,LINK/USDT,15,70,9,23,36.47907669201393,39.130434782608695,0.12625077735779794
8069,LINK/USDT,15,70,10,23,45.92375991813833,39.130434782608695,0.15625028400239432
8070,LINK/USDT,15,80,1,18,11.359257122823024,50.0,0.12006945879948235
8071,LINK/USDT,15,80,2,18,22.568669705152345,50.0,0.20326175657376583
8072,LINK/USDT,15,80,3,18,30.68289980578732,61.111111111111114,0.17849196243975174
8073,LINK/USDT,15,80,4,18,50.08875942255533,55.55555555555556,0.2722990888535082
8074,LINK/USDT,15,80,5,18,27.92797473381047,38.88888888888889,0.14658403799874026
8075,LINK/USDT,15,80,6,18,37.3023867649995,38.88888888888889,0.17285747642291432
8076,LINK/USDT,15,80,7,18,58.497584480496535,44.44444444444444,0.2697279242947618
8077,LINK/USDT,15,80,8,18,54.469495595997785,55.55555555555556,0.2938814319056809
8078,LINK/USDT,15,80,9,18,45.72664432129907,44.44444444444444,0.250916028057003
8079,LINK/USDT,15,80,10,18,51.165346172837815,44.44444444444444,0.24187148000578004
8080,LINK/USDT,15,90,1,17,9.240225075733417,47.05882352941176,0.10057985063962786
8081,LINK/USDT,15,90,2,17,18.63145583988093,47.05882352941176,0.1733924792640722
8082,LINK/USDT,15,90,3,17,23.540976980411227,58.82352941176471,0.14211335660031563
8083,LINK/USDT,15,90,4,17,44.73885752589083,52.94117647058824,0.2503255027669725
8084,LINK/USDT,15,90,5,17,30.217052562456637,41.17647058823529,0.1635861096147222
8085,LINK/USDT,15,90,6,17,40.38937172248806,41.17647058823529,0.19337355130620448
8086,LINK/USDT,15,90,7,17,58.11825158317801,41.17647058823529,0.27575834432382135
8087,LINK/USDT,15,90,8,17,56.82397564831956,58.82352941176471,0.3176392641900937
8088,LINK/USDT,15,90,9,17,45.8051269897098,47.05882352941176,0.2587254179388387
8089,LINK/USDT,15,90,10,17,52.748079985787435,47.05882352941176,0.2572768300024001
8090,LINK/USDT,15,100,1,15,15.657921891359535,53.333333333333336,0.18758527879457726
8091,LINK/USDT,15,100,2,15,23.3041422391996,53.333333333333336,0.2368498135211538
8092,LINK/USDT,15,100,3,15,40.38299379473912,66.66666666666666,0.28109096105824793
8093,LINK/USDT,15,100,4,15,53.879953357947905,60.0,0.33127971148504953
8094,LINK/USDT,15,100,5,15,43.4202586411924,46.666666666666664,0.26044741053832554
8095,LINK/USDT,15,100,6,15,56.42619416123188,46.666666666666664,0.30212662647092503
8096,LINK/USDT,15,100,7,15,73.04619875999276,46.666666666666664,0.38940619824694755
8097,LINK/USDT,15,100,8,15,62.183891799814226,60.0,0.3809841486862142
