Symbol,Last_Trigger_Date,Price(THB),Price(USD),High_in_x_hours,Volume_Increase_Pct,Holding_hours,TP(%),SL(%),Num_Signals,AVG_Return_No_TP_SL,Accuracy_No_TP_SL,AVG_Return_With_TP_SL,Accuracy_With_TP_SL,Weight,Sell
CRO-USD,2024-11-06 10:00:00+07:00,2.7453664134442795,0.0800165086984634,552,20,192,100,20,49,29.098003970228074,87.75510204081633,35.12120534576818,87.75510204081633,0.0048,True
CRV-USD,2024-11-10 11:00:00+07:00,9.698108824789525,0.2826612889766693,480,50,192,100,40,53,8.55258763562885,77.35849056603774,8.55258763562885,77.35849056603774,0.0168,True
CTSI-USD,2024-11-23 21:00:00+07:00,5.958496321588753,0.1736664623022079,264,60,96,100,20,63,1.3435475686034148,69.84126984126983,1.5312339905881067,69.84126984126983,0.0,True
CVC-USD,2024-11-12 10:00:00+07:00,5.22635116651654,0.1523273438215255,624,40,192,100,20,37,-0.7553801772834666,56.75675675675676,0.15796417488358444,56.75675675675676,0.0,True
DENT-USD,2024-11-10 09:00:00+07:00,0.0334061639010872,0.0009736567735671,648,20,168,100,20,44,7.670772221444313,61.36363636363637,7.370583490993516,61.36363636363637,0.012,True
DGB-USD,2024-11-10 22:00:00+07:00,0.24572076062206083,0.0071617825888097,576,50,168,100,40,25,13.582364551555424,88.0,13.582364551555424,88.0,0.0216,True
DODO-USD,2024-11-23 14:00:00+07:00,4.557912953048942,0.1328450292348861,336,50,48,100,20,54,3.7461012379002816,68.51851851851852,3.7461012379002816,68.51851851851852,0.036,True
DOGE-USD,2024-11-23 10:00:00+07:00,14.862775078415872,0.4331907629966736,672,40,240,100,40,58,26.19563288005209,72.41379310344827,29.547457656996688,72.41379310344827,0.0012,False
DOT-USD,2024-11-22 08:00:00+07:00,211.20856912612916,6.155889511108398,528,30,96,100,40,51,4.455932710048124,70.58823529411765,4.455932710048124,70.58823529411765,0.0024,True
DYDX-USD,2024-11-23 14:00:00+07:00,47.81414152026177,1.3935920000076294,624,90,96,100,20,17,0.03869859243294951,58.82352941176471,-0.09112246825548799,58.82352941176471,0.0,True
EGLD-USD,2024-11-29 19:00:00+07:00,1386.9840797042848,40.42506790161133,120,100,48,100,20,90,0.43972698049110004,52.22222222222223,0.4121328116972856,52.22222222222223,0.0,False
ENA-USD,2024-11-23 11:00:00+07:00,21.603362964987756,0.6296520829200745,96,90,72,100,20,70,4.689142089356015,62.85714285714285,4.786375826232046,62.85714285714285,0.0144,True
ENS-USD,2024-11-21 19:00:00+07:00,649.3160694122315,18.92498016357422,24,10,48,100,20,277,2.2802193797595054,57.03971119133574,2.2802193797595054,57.03971119133574,0.0204,True
EOS-USD,2024-11-10 10:00:00+07:00,17.408784798383714,0.5073968172073364,696,60,216,100,20,37,14.527121090203064,75.67567567567568,14.667034338640637,75.67567567567568,0.0,True
ETC-USD,2024-11-23 07:00:00+07:00,1019.1245584487916,29.703426361083984,696,90,72,100,40,40,2.7341197883036825,65.0,2.7341197883036825,65.0,0.0024,True
ETH-USD,2024-11-23 21:00:00+07:00,119253.02438232422,3475.751220703125,672,90,144,100,20,46,3.3974100840476065,69.56521739130434,3.3974100840476065,69.56521739130434,0.0468,True
